,Lat,Lon,SST,Chla,SSH,SOI,SSS,DO,BT,QPS,EPS
351,27.5,120.5,17.13,21.054512,-0.171,0.7,28.5,9.7,14.7,0.04109245976715353,0.006368553564404453
352,27.0,120.5,17.15765,9.852761,-0.1903,0.7,26.2,9.091,15.435,0.026741679274239732,0.0009128971408515815
353,27.25,120.75,16.961,9.774401,-0.1588,0.7,27.6,8.5,15.6,0.023389663079657272,0.00216998806761369
354,27.25,121.0,16.91165,4.3238115,-0.1353,0.7,28.954,7.993,15.767,0.014873098346941241,0.013692386887511317
355,27.0,120.75,16.92166,3.0633197,-0.1873,0.7,30.142,8.09,16.428,0.18654062052488624,0.03987997233418893
356,27.5,121.0,16.56634,5.912089,-0.1804,0.7,28.895,8.126,14.943,0.0024545764711634242,0.016443918579305897
357,27.25,121.0,16.91165,4.3238115,-0.1353,0.7,28.954,7.993,15.767,0.014873098346941241,0.013692386887511317
358,27.0,121.0,17.34033,2.0212927,-0.1602,0.7,30.857,8.076,18.348,0.45417746112776824,0.27531128161659985
359,28.0,121.25,15.828,23.289207,-0.293,0.7,25.083,7.964,16.873,0.08812823498434691,0.005382476822774724
360,27.75,121.25,15.834,9.273159,-0.2501,0.7,26.808,8.319,15.717,0.0,0.0019014278769388503
361,27.5,121.25,16.54333,5.023203,-0.1646,0.7,30.129,8.933,16.239,0.11789140142733176,0.016730763425803027
362,27.0,121.25,18.56332,1.8959504,-0.1248,0.7,32.878,8.641,19.936,0.5162146050227615,1.0
363,28.25,121.25,16.466,16.398178,-0.1584,0.7,29.856,8.1165,19.023,0.12720326679399502,0.09035367964324882
364,28.25,121.5,15.73165,21.819202,-0.1584,0.7,26.834,7.592,18.11,0.07020852614485133,0.16177576667392535
365,28.0,121.5,15.79467,10.354186,-0.1781,0.7,26.976,8.037,15.95,0.019433292238163383,0.005369167845252206
366,27.75,121.5,16.36132,4.4279976,-0.166,0.7,27.673,13.512,17.114,0.17908390904457308,0.0472107952309322
367,27.5,121.5,17.51666,2.0966713,-0.1296,0.7,30.746,9.477,19.99,0.286189175443183,0.2984501656239814
368,27.25,121.5,18.86498,2.2221148,-0.0715,0.7,27.216,7.9445,16.416,0.18286843215019116,0.04338224675840447
369,27.0,121.5,19.82733,2.1443655,-0.071,0.7,27.6355,10.9045,15.918,0.17310808313886739,0.05276057342932755
370,28.75,121.75,16.25134,10.829544,-0.0486,0.7,29.674,10.577,18.0665,0.24087876011920747,0.08305386660518563
371,28.75,122.0,15.641,8.25316,-0.0572,0.7,31.022,9.275,19.825,0.32517581083188984,0.39963490991173284
372,28.5,121.75,16.169,8.6048155,-0.0343,0.7,27.598,8.297,14.722,0.007643271243487654,0.0019968149240105395
373,28.25,121.75,15.81365,8.487453,-0.0409,0.7,28.602,11.677,16.143,0.19051939363300835,0.038707530080235
374,28.0,121.75,16.338,4.4273586,-0.0633,0.7,29.123,8.284,15.539,0.018769793643876383,0.011178215667198841
375,27.75,121.75,17.63333,1.6561874,-0.086,0.7,31.298,9.073,19.66,0.6083938222026424,0.6347643554660841
376,27.5,121.75,19.349,1.5289656,-0.0938,0.7,29.344,10.057,15.532,0.24907060140737922,0.08307055449070305
377,27.0,121.75,20.51098,2.2668264,-0.0407,0.7,30.692,8.755,17.2905,0.23086861282061294,0.06168643142184132
378,29.5,122.0,14.78,13.021995,0.0045,0.7,31.3105,9.195,19.277,0.5701200853731629,0.17791787888363098
379,28.5,122.0,15.73165,6.5656095,-0.0361,0.7,30.086,8.437,14.921,0.16509917964676718,0.01002936473264345
380,28.25,122.0,16.14333,3.6200168,-0.0128,0.7,30.245,8.744,15.462,0.21083583907505304,0.025226650155266074
381,28.0,122.0,17.55532,2.179862,-0.0102,0.7,31.323,9.317,18.894,0.49815103452289944,0.2691087432661276
382,27.75,122.0,19.60833,1.7756065,-0.0292,0.7,34.209,6.919,18.527,0.6110033109313114,0.591638252595897
383,30.5,122.25,14.202,16.59426,-0.0395,0.7,23.797,8.603,14.416,0.006438802046949348,0.0038655249389275333
384,29.5,122.0,14.78,13.021995,0.0045,0.7,30.803,7.99375,17.61975,0.27101116341988374,0.1066417945501719
385,29.25,122.25,15.24233,6.1301703,-0.11,0.7,29.1,8.531125,17.166125,0.08817532134365365,0.008965212876053253
386,29.0,122.25,15.53198,4.402514,-0.1219,0.7,27.397,9.0685,16.7125,0.03969730117433097,0.0
387,28.75,122.25,15.866,3.9103336,-0.115,0.7,28.9075,8.724375,17.139375,0.07373376959531514,0.017820202311361624
388,28.5,122.25,16.345,2.962082,-0.0845,0.7,30.418,8.38025,17.56625,0.19250034287321435,0.1362759005711356
389,28.25,122.25,17.68133,2.1327069,-0.0594,0.7,30.997,9.534,19.009,0.3437323575823704,0.2636310404539636
390,28.0,122.25,19.678,2.0969083,-0.0516,0.7,33.439,7.692,18.42,0.5929420994777042,0.4248292170172406
391,31.0,122.5,15.01165,5.115417,-0.1488,0.7,25.582,8.531,15.005,0.02206516181054182,0.0037676113373132317
392,29.75,122.5,14.81832,7.6221485,-0.0001,0.7,33.31425,7.794,18.462,0.9031615728710769,0.19179681023525383
393,29.75,122.25,14.24334,16.218279,0.07,0.7,26.0585,8.4865,15.63825,0.01994810449423682,0.003229387028574511
394,29.5,122.5,14.99764,5.04212,-0.0613,0.7,33.1895,7.896,18.504,0.6939065849633652,0.19324578123556843
395,29.25,122.5,15.72598,3.563836,-0.0916,0.7,26.535,8.442,16.2715,0.03840364049167579,0.006680157100361591
396,29.0,122.5,16.22366,3.689601,-0.0927,0.7,33.06475,7.998,18.546,0.36829535002614877,0.20201087396808262
397,28.5,122.5,17.81698,2.315502,-0.0654,0.7,27.0115,8.3975,16.90475,0.25417426426100764,0.03858280992786274
398,28.25,122.5,19.646,2.259475,-0.0694,0.7,32.94,8.1,18.588,0.4336797470507049,0.3818614542232876
399,30.5,122.75,15.02966,3.6182547,-0.1109,0.7,27.488,8.353,17.538,0.07934417464073162,0.05226555897448631
400,30.25,122.75,15.06567,4.147457,-0.0805,0.7,29.691,9.168,16.888,0.09594148715476994,0.007212329230259199
401,30.25,123.0,15.452,3.69669,-0.0656,0.7,30.301,9.555,17.828,0.25017143326757685,0.03989726131659072
402,30.0,123.0,15.73766,1.605958,-0.0637,0.7,30.438,10.266,18.424,0.4380692259268316,0.23810236111170988
403,29.75,122.75,15.418,3.183325,-0.0487,0.7,30.4515,8.159,18.4835,0.2071654493683626,0.09374139172517129
404,29.5,122.75,15.54965,2.484332,-0.066,0.7,31.858,8.76,18.63,0.28282278275534023,0.1362584906209243
405,29.0,122.75,17.31332,1.7328486,-0.0898,0.7,30.917,9.9625,17.676,0.413439345285206,0.22081037831949651
406,28.75,122.75,18.02566,2.5019765,-0.0646,0.7,29.5375,9.608,18.1195,0.3442995617377833,0.17428055883318458
407,28.5,122.75,19.24398,2.019447,-0.042,0.7,33.415,7.965,19.429,0.5640560851395371,0.881490618446111
408,31.0,123.0,15.30633,2.9423149,-0.0978,0.7,31.0,9.659,16.928,0.5198096115373524,0.07525099203638246
409,30.75,123.0,15.346,2.4707937,-0.0968,0.7,32.516,7.199,17.952,0.681915746214055,0.18153218940344465
410,30.5,123.0,15.342,2.671793,-0.0733,0.7,28.637,8.95,17.815,0.25684565134646276,0.045709747088204675
411,30.25,123.0,15.452,3.69669,-0.0656,0.7,30.301,9.555,17.828,0.25017143326757685,0.03989726131659072
412,30.0,123.0,15.73766,1.605958,-0.0637,0.7,30.438,10.266,18.424,0.4380692259268316,0.23810236111170988
413,29.75,123.0,15.92233,3.6324685,-0.0696,0.7,31.7285,8.365,17.5025,0.3453992107131867,0.09002385905771143
414,29.5,123.0,16.40234,2.6524742,-0.0807,0.7,30.621,9.543,17.4405,0.394682079621395,0.14025272237985603
415,29.25,123.0,17.11932,1.7320017,-0.0866,0.7,30.699,8.948,17.28,0.32440098370020265,0.05948748845541279
416,29.0,123.0,18.29165,1.3942021,-0.0733,0.7,30.79,9.949,17.667,0.49875388372106066,0.2092667414272079
417,31.0,123.25,15.341,4.387188,-0.066,0.7,30.941,9.531,17.053,0.6891788022534434,0.04209720154106585
418,30.75,123.25,15.57598,4.018785,-0.0495,0.7,30.96,10.355,17.894,0.6027874767552741,0.07028361452361222
419,30.5,123.25,15.766,4.084635,-0.0552,0.7,29.083,11.385,18.485,0.4463371968846719,0.14352548375261331
420,30.25,123.25,15.97866,3.2270083,-0.0607,0.7,31.618,9.197,18.264,0.8036461864371819,0.13539450234710954
421,30.0,123.25,16.33898,1.3241391,-0.0597,0.7,31.448,9.769,18.794,0.9494351981942754,0.2252878711282449
422,29.75,123.25,16.57333,1.3121084,-0.0562,0.7,32.1305,9.6065,17.657,0.3718244856653554,0.13115068769574198
423,30.75,123.5,15.65267,3.5891218,-0.0153,0.7,32.813,9.444,16.52,0.9566386326687693,0.09131588281243196
424,30.5,123.5,15.834,2.8734024,-0.0426,0.7,31.576,9.584,18.159,1.0,0.10913920122388582
425,30.25,123.5,16.17266,2.9842644,-0.0586,0.7,31.78,9.137,17.943,0.593602995318728,0.08448941168025056
426,30.5,123.75,15.65267,2.3546388,-0.0163,0.7,31.694,9.581,17.129,0.8464901117964885,0.0628091949593006
